Membership No  Date Joined  Active  
    47201      2018-9-4     no    
    18270      2019-7-14    no    
    49294      2019-10-4    no    
    15371      2020-5-22    no    
    97961      2015-1-19    no    
    63571      2018-12-19   no    
    92267      2019-7-19    no    
    60562      2017-5-24    no    
    10547      2017-8-5     no    
    26683      2017-9-1     no    
    12130      2020-2-15    no    
    43476      2017-7-21    no    
    61012      2018-4-17    no    
    12575      2017-10-8    no    
    86656      2018-9-19    no    
    38197      2019-5-7     no    
    56833      2016-2-5     no    
